year,name
2016,"Janice F. Bell"
2016,"Jennifer Lai"
2016,"Shondrah Nash"
2017,"A. June Brawner"
2017,"Abbas Ali Chandio"
2017,"Adrian Flitney"
2017,"Alana Hulme Chambers"
2017,"Albert J. Vander Wal"
2017,"Ali Saleh"
2017,"Alice Elio"
2017,"Alisha Coleman-Jensen"
2017,"Amanda Devine"
2017,"Amit Srivastava"
2017,"Amulya Rao"
2017,"Andrea Armstrong"
2017,"Andrew M. Bell"
2017,"Anna M. Mangan"
2017,"Anne Gaglioti"
2017,"Anthony D. Kendall"
2017,"Ashis Kumar Chatterjee"
2017,"Augustine K. Obour"
2017,"Aziz Khan"
2017,"Barbara A. Laraia"
2017,"Barbara A. Muhling"
2017,"Bernardo Predicala"
2017,"Bert Beck"
2017,"Bharat Mehra"
2017,"Bradley Barnhart"
2017,"Brandon D. Becker"
2017,"Brian Real"
2017,"Brian Vandenberg"
2017,"Bridget R. Scanlon"
2017,"C. Alan Rotz"
2017,"Caitlin Hachmyer"
2017,"Caryn West"
2017,"Charles Betley"
2017,"Chloe Kam Hong Lau"
2017,"Chris Fike"
2017,"Christina Reaves"
2017,"Christopher R. Schwalm"
2017,"Chung-Hao Chen"
2017,"Claudio O. Stockle"
2017,"Claudio O. Stöckle"
2017,"Craig R. Glenn"
2017,"Cristian Dragos Teodorescu"
2017,"Cynthia A. Thomson"
2017,"Cynthia Rosenzweig"
2017,"Daniel H. Putnam"
2017,"Daniel Haley"
2017,"David Francis"
2017,"David Mobsby"
2017,"Deborah A. Kerr"
2017,"Deepak K. Ray"
2017,"Delphina Mamiro"
2017,"Devi-Ann Hall"
2017,"Diana Ng"
2017,"Diana P. Brostow"
2017,"Douglas K. Rex"
2017,"Douglas L. Leslie"
2017,"Douglas W. Gamble"
2017,"Dragan Milic"
2017,"Francis Lenora Castillo de la Rosa"
2017,"Francisco M. Ochoa-Corona"
2017,"Frank R. Quamen"
2017,"Fred Yikii"
2017,"Frikkie Liebenberg"
2017,"Gabriella Trussardi"
2017,"Gabrielle E. Roesch-McNally"
2017,"Gary Hooper"
2017,"Gopal X. Bhatt"
2017,"Grant Greenberg"
2017,"Greta L. Branford"
2017,"Guillaume Pare"
2017,"Gulzhan Rahmetovna Duisembekova"
2017,"Guoyong Leng"
2017,"Gustavo P. Mardones"
2017,"Hannah Malan"
2017,"Harry Baumes"
2017,"Harvey Neo"
2017,"Henok Tadele"
2017,"Hermanni Heimonen"
2017,"Hernan A. Tejeda"
2017,"Inci M. Baytas"
2017,"Janice O. Okeke"
2017,"Jason Norsworthy"
2017,"Jayanta Kumar Patra"
2017,"Jeff Green"
2017,"Jeffrey K. O’Hara"
2017,"Jennie S. Popp"
2017,"Jennifer B. Shinn"
2017,"Jeremy S. Triplett"
2017,"Jessica Bates"
2017,"Jevgenijs Steinbuks"
2017,"Jillian M. Deines"
2017,"Joanne E. Cox"
2017,"John Cook"
2017,"John R. Balmes"
2017,"Jonathan Downs"
2017,"Joseph C. Cooper"
2017,"Joyce L. Merritt"
2017,"Julia A. Wolfson"
2017,"Karen Brooks"
2017,"Karen Jean Day"
2017,"Karen Lewis"
2017,"Karen M. Buzby"
2017,"Katherine V. Hooker"
2017,"Kathleen Fisher"
2017,"Kathleen L. Egan"
2017,"Katrina Raynor"
2017,"Keith E. Belk"
2017,"Kenesha Reynolds-Allie"
2017,"Khondoker Abdul Mottaleb"
2017,"Kimberlee Gerardy"
2017,"Kimberly McCuistion"
2017,"Kristel Hunt"
2017,"L Carlos Chavez Fiorella"
2017,"Lakshmi Sastry-Dent"
2017,"Laura C. Hopkins"
2017,"Laura J. Samuel"
2017,"LaVona Traywick"
2017,"Leandra Parris"
2017,"Les P. Jones"
2017,"Louise Humpage"
2017,"Luis Alejandro Morales-Marín"
2017,"Lyn Dimer"
2017,"Madhu Khanna"
2017,"Maibritt Pedersen Zari"
2017,"Mandy Truong"
2017,"Marc Léopold"
2017,"Marc T. Braverman"
2017,"Marina Butovskaya"
2017,"Marion Dixon"
2017,"Mark M. Miller"
2017,"Mark R. Crosswhite"
2017,"Marta Fortea-Verdejo"
2017,"Maureen Carter"
2017,"Maurizio Prosperi"
2017,"Megan A. Moreno"
2017,"Melodie Green"
2017,"Melvin R. Duvall"
2017,"Michael DeMarco"
2017,"Michael R. Thomas"
2017,"Mikaël Monot"
2017,"Milad Daneshi-Maskooni"
2017,"Ming-Shun Chen"
2017,"Mohamed Fawzy Ramadan"
2017,"Msangi Siwa"
2017,"Mustafa Omar Mohammed"
2017,"Nicholas S. Hill"
2017,"Nick Revington"
2017,"Nicolette V. Jew"
2017,"Nita Limdi"
2017,"P. K. Ramachandran Nair"
2017,"Pamela Snow"
2017,"Patricia A. Harrison"
2017,"Patrick Ngulube"
2017,"Paul Lanier"
2017,"Paul Shapiro"
2017,"Paul Van Der Werf"
2017,"Peter Weyer"
2017,"Prasanta Kalita"
2017,"Priyanka Srivastava"
2017,"Rajeev K. Goel"
2017,"Rebecca Evans"
2017,"Renil Anthony"
2017,"Richard Bassed"
2017,"Richard P. Mattick"
2017,"Robert B. Gunier"
2017,"Robert Charles Capistrano"
2017,"Robert Curtotti"
2017,"Robert E. Nurse"
2017,"Robert Kröger"
2017,"Robert M. Griffin"
2017,"Robert Oglesby"
2017,"Roger De Roo"
2017,"Sandeep Kumar"
2017,"Sangwon Park"
2017,"Sanjay Shukla"
2017,"Sara McMillan Torres"
2017,"Scott G. Leibowitz"
2017,"Senne Vandevelde"
2017,"Severine Mayere"
2017,"Shaj Kavya"
2017,"Shiqi Chen"
2017,"Singaram Jayanthi"
2017,"Soundar Kumara"
2017,"Stefan Hirsch"
2017,"Stevan Z. Knezevic"
2017,"Steve Amosson"
2017,"Steve J. Penno"
2017,"Steve M. Jex"
2017,"Steven J. Moeller"
2017,"Steven K. Vosberg"
2017,"Susan L. Parish"
2017,"Suzanne Phibbs"
2017,"Tai M. Maaz"
2017,"Edwin Willig"
2017,"Elaine Borawski"
2017,"Eline Jongmans"
2017,"Elisa Greco"
2017,"Elizabeth Leonard"
2017,"Emily H. Morgan"
2017,"Emma Gearon"
2017,"Ernest R. Vina"
2017,"Erwin Schmid"
2017,"Everett Peterson"
2017,"Faith G. Davis"
2017,"Farhad Zulfiqar"
2017,"Feng Xie"
2017,"Francis Ogwang"
2017,"Fred F. Chibwana"
2017,"Gaëtan Vanloqueren"
2017,"Galya Akimbekova"
2017,"Gerald Lebovic"
2017,"German Spangenberg"
2017,"Grace Bagwell Adams"
2017,"Greg Brown"
2017,"Greg Godwin"
2017,"H. Luke Shaefer"
2017,"Han Li"
2017,"Helena Canhão"
2017,"Hélène Ouellette-Kuntz"
2017,"Hikaru H. Peterson"
2017,"Holly C. Felix"
2017,"Hollyanne E. Fricke"
2017,"Hsin-Yi Weng"
2017,"Irina Trotsuk"
2017,"Jacqueline Escobar"
2017,"Jaki McCarthy"
2017,"James D. Rossi"
2017,"James D.A. Millington"
2017,"James Simon"
2017,"James Thompson"
2017,"James W. Pease"
2017,"Jane Kelly"
2017,"Jane Landon"
2017,"Jayashri Sankaranarayanan"
2017,"Jayne A. Fulkerson"
2017,"Jeffrey E. Cole"
2017,"Jenni Judd"
2017,"Jennifer A. Horney"
2017,"Jennifer Horney"
2017,"Jeremiah K. S. Dung"
2017,"Jiangui Liu"
2017,"Jinan C. Banna"
2017,"Jo Lunn Brownlee"
2017,"John Gordon"
2017,"John H. Prueger"
2017,"John V. Pepper"
2017,"Josef Pulkrábek"
