year,name
2020,"Matthew A. Diersen"
2020,"Matthew Keeble"
2020,"Maureen Stickel"
2020,"Melissa Marzan-Rodriguez"
2020,"Mercedes Mora-Plazas"
2020,"Mercedes R. Carnethon"
2020,"Meron Lewis"
2020,"Mia Hashibe"
2020,"Michael D. Kurtz"
2020,"Michael L. O'Leary"
2020,"Michael Siegrist"
2020,"Michelle L. Kaiser"
2020,"Michelle Singh"
2020,"Mingqi Li"
2020,"Mingqun Xu"
2020,"Mohammad Shahidul Hasan Swapan"
2020,"Mohd. Masood"
2020,"Monali Bhosle"
2020,"Mudassir Alam"
2020,"Nasibeh Zanjari"
2019,"John C Wise"
2019,"John D. Kelly"
2019,"John M Antle"
2019,"John V. Winters"
2019,"Jon Adams"
2019,"Joseph LeBlanc"
2019,"Juan Carlos Melgar"
2019,"Julia Pon"
2019,"Julian M. Alston"
2019,"Juliette T. Jordan"
2019,"Juned Siddique"
2019,"Junye Wang"
2019,"K. S. Kylie Lee"
2019,"Kamal A.M. Abo-Elyousr"
2019,"Kamel Barkaoui"
2019,"Karen E. Waldie"
2019,"Katherine M. Seavey"
2019,"Kathryn S. Oths"
2019,"Kathryn Wouk"
2019,"Katie A. Ports"
2019,"Kay Critchell"
2019,"Kebede Beyene"
2019,"Ken Belcher"
2019,"Kidane Assefa Abebe"
2019,"Kim Robien"
2019,"Kiona Pilles"
2019,"Kristine A Madsen"
2019,"Kuk-Hyun Jung"
2019,"Lanlin Yu"
2019,"Lanndon A. Ocampo"
2019,"Latoya Hill"
2019,"Laurie Mallery"
2019,"Lee Smith"
2019,"LeLee Yap"
2019,"Lindsay A. Pease"
2019,"Lindsey Turner"
2019,"Ling-xiao HU"
2019,"Lisa Stafford"
2019,"Litha Sivanandan"
2019,"Lucie Kalousová"
2019,"Luis F. Rodriguez"
2019,"Lynn Christie"
2019,"Maaike de Vries"
2019,"Madelina M. Cordia"
2019,"Madeline R. Kameny"
2019,"Magdalena Cerdá"
2019,"Man Luo"
2019,"Manoji Gunathilake"
2019,"Marco Pagani"
2019,"Margaret Raber"
2019,"Margaret Rosso Grossman"
2019,"Maria Zuba-Ciszewska"
2019,"Marianela Hazel Álvarez-Hernández"
2019,"Mario Miranda Sazo"
2019,"Marlain Khouryieh"
2019,"Marlene Schwartz"
2019,"Marney A. White"
2019,"Marsha Spence"
2019,"Martha MacLeod"
2019,"Martin Prowse"
2019,"Mary Ryan"
2019,"Mary W. Hildebrand"
2019,"Matthew C. Morris"
2019,"Meghan F. Johnson"
2019,"Meredith Craig"
2019,"Michael K. Adjemian"
2019,"Michelle Lofwall"
2019,"Millie Worku"
2019,"Min Lu"
2019,"Mohammad Jahangir Alam"
2019,"Mohammad Mehdi Faghihi"
2019,"Mohammad U.H. Joardder"
2019,"Mónica del Pilar Díaz Beltrán"
2019,"Muhammad Afzal"
2019,"Mukoso N. Ozieh"
2019,"Muluken Gezahegn"
2019,"Munirwan Zani"
2019,"Natasha Beachum"
2019,"Nathan Stone"
2019,"Nathaniel P. Springer"
2019,"Nevil Pierse"
2019,"Nguyen Pham"
2019,"Nicholas M. Short"
2019,"Nicola Kayes"
2019,"Nicolas Dilorenzo"
2019,"Nina Shishkoff"
2019,"Nina Zhang"
2019,"Nitya Chanana"
2019,"Noel W. Clarke"
2019,"Noelle Cockett"
2019,"Oren Ackermann"
2019,"Paige E. Farris"
2019,"Pamela C. Griesler"
2019,"Pamela Ray"
2019,"Panagiota Kitsantas"
2019,"Pankaj Lal"
2019,"Patricia Hartge"
2019,"Patrick Okori"
2019,"Patrick Wennström"
2019,"Paul Meiman"
2019,"Paulo Santos"
2019,"Peter A. Durr"
2019,"Peter Howat"
2019,"Peter Sexton"
2019,"Peter W.B. Phillips"
2019,"Peter Witzke"
2019,"Philip Weinstein"
2019,"Qiang Zhu"
2019,"Randal K Boman"
2019,"Randal R. Rucker"
2019,"Randy Boman"
2019,"Rebecca J. Scharf"
2019,"Rebecca Mete"
2019,"Rebecca Reid"
2019,"Richard C. Franklin"
2019,"Robert K. Grala"
2019,"Roger B. Batts"
2019,"Ruth C. Martin"
2019,"Ruth Wooten"
2019,"Samantha Disbray"
2019,"Sara C. Folta"
2019,"Sara Dolnicar"
2019,"Sarah A. Murphy"
2019,"Sarah D. Corathers"
2019,"Sarai Morales-Sierra"
2019,"Sean C. Lucan"
2019,"Serge Hercberg"
2019,"Seyedeh Parisa Moosavian"
2019,"Shadi Kamal Hamadeh"
2019,"Shannon Kumar"
2019,"Shaukat Ali"
2019,"Shichao Li"
2019,"Shirleene Robinson"
2019,"Sjafrida Manuwoto"
2019,"Slawomir Sowa"
2019,"Stefano Prato"
2019,"Stephen A. Matthews"
2019,"Steve Adkins"
2019,"Steven Lam"
2017,"Pete Smith"
2017,"Peter J. Tomlinson"
2017,"Philipo Joseph Lukumay"
2017,"Rafael Muñoz-Carpena"
2017,"Rasmi Avula"
2017,"René Rojas"
2017,"Reza Keshavarz Afshar"
2017,"Rob Watts"
2017,"Robert Meinen"
2017,"Ross Recker"
2017,"Rute Dinis de Sousa"
2017,"Ruth McAreavey"
2017,"Ruyue Cao"
2017,"Samuel Dorevitch"
2017,"Sara Anne Hook"
2017,"Sarah Carsley"
2017,"Scott V. Ollinger"
2017,"Shervin Jamshidi"
2017,"Shosha Capps"
2017,"Shuay-Tsyr Ho"
2017,"Stephanie A. Szostek"
2017,"Sunny Smith"
2017,"Suzanna M. Martinez"
2017,"Tania Cassidy"
2017,"Ted C. Schroeder"
2017,"Tegan Dutton"
2017,"Teresa Sequeros"
2017,"Theodore J. Angelopoulos"
2017,"Tiffani Kisler"
2017,"Timothy Chapin"
2017,"Timothy Lawrence"
2017,"Timothy T. Kennedy"
2017,"Todd Gaines"
2017,"Tracey N. Gibson"
2017,"Venkatesh Balan"
2017,"Victoria Westbrooke"
2017,"Vladislav Zekic"
2017,"William Haden-Chomphosy"
2017,"William Horwath"
2017,"Xiaojie Liu"
2017,"Xuemei He"
2017,"Yiwei Qian"
2017,"Yuanita Handayati"
2017,"Zachary P. Meyers"
2018,"Abudukeremu Kadier"
2018,"Adam Davis"
2018,"Adam W. Carrico"
2018,"Alberto Lasagna"
2018,"Alfonso Robinson"
2018,"Aline C. Soterroni"
2018,"Alison Foster"
2018,"Alison Kamil"
2018,"Allen T. Rutberg"
2018,"Allison Barlow"
2018,"Alycia K. Boutté"
2018,"Amanda J. Fogleman"
2018,"Amy L Toth"
2018,"André Bardow"
2018,"Andrea S. Anater"
2018,"Andrew D. B. Leakey"
2018,"Andrew Schmitz"
2018,"Andrew Smith"
2018,"Androniki Psifidi"
2018,"Anna Deruyter"
2018,"Anne G. Short Gianotti"
2018,"Anne Hilda Wiltshire"
2018,"Anne Veillet"
2018,"Anup Kollanoor-Johny"
2018,"Arlene Inocencio"
2018,"Arshed A. Quyyumi"
2018,"Arthur Caye"
2018,"Ashlynn S. Stillwell"
2018,"Asim Biswas"
2018,"Benny Weksler"
2018,"Bhekie B. Mamba"
2018,"Breno Souza de Aguiar"
2018,"Brett A. Hayhurst"
2018,"Brian A. Harris-Kojetin"
2018,"Brian Dollery"
2018,"Brian McConkey"
2018,"Buyun Liu"
2018,"C. Mary Schooling"
2018,"Callie L. Herron"
2018,"Caroline H. Guinn"
2018,"Carolyn Day"
2018,"Chandana R. Withanachchi"
2018,"Charles M. White"
2018,"Chia-Chou Yeh"
2018,"Chris G. Sibley"
2018,"Christian Gregory"
2018,"Christian J. Peters"
2018,"Christian Lenhart"
2018,"Christine M White"
2018,"Claudia Pulgarin"
2018,"Cora E Lewis"
2018,"Curtis L. Rollins"
2018,"Cynthia E. Chico"
2018,"Dana A. Cavallo"
2018,"Daniel L. Miquelluti"
2018,"Daniel M. Walker"
2018,"Daniel Paradis"
2018,"Daniel W. Barker"
2018,"Daniela Dawson"
2018,"Danielle Sekula"
2018,"Daran Rudnick"
2018,"David Rodríguez-Lázaro"
2018,"Dawn L. Hershman"
2018,"Dennis A Savaiano"
2018,"Dorcas H. Franklin"
2018,"Edo Andriesse"
2018,"Edward J. Dlugokencky"
2018,"Emilia Ptak"
2018,"Emiliano Jozami"
2018,"Eric J. Ward"
2018,"Erica A. Davisson"
2018,"Erica McIntyre"
2018,"Erica Ramstad"
2018,"Esther S. Parish"
2018,"Everett B Peterson"
2018,"Ezequiel Silva"
2018,"Felix B. Fritschi"
2018,"Fiona Alpass"
2018,"Frederick Quaye"
2018,"Fu Chen"
2018,"Gilberto Câmara"
2018,"Glenn D. Israel"
2018,"Grant Russell"
2018,"Greg Latta"
2018,"Guido Sali"
2018,"Gyan Prakash Rai"
2018,"Hairik Honarchian Saki"
2018,"Hamdi A. Zurqani"
2018,"Hannah Wunsch"
2018,"Heng Ye"
2018,"Hsien Seow"
2018,"Hugo E. Cuevas"
2018,"Hugo Farías"
2018,"Christine Thomas-Agnan"
2018,"Christopher A. Williams"
2018,"Christopher J. Currey"
2018,"Clare Elizabeth Hunt"
2018,"Claudia Ringler"
2018,"Clifton Burt"
2018,"Clipper F. Young"
2018,"Clive McAlpine"
2018,"Cory Bystrom"
2018,"Cristina D. Miller"
2018,"Dani Hess"
2018,"Daniel F. López-Cevallos"
2018,"Daniel Humburg"
2018,"Daniel W. McKenney"
2018,"Danny R. Hughes"
2018,"Darren Beiko"
2018,"Dasantha Jayamanne"
2018,"David I. Douphrate"
2018,"David P. Brown"
2018,"David Valenzuela Maldonado"
2018,"Debra Lyn Bassett"
2018,"Diane Kirby"
2018,"Dilupa Nakandala"
2018,"Dona Anderson"
2018,"Edward A. Frongillo"
2018,"Edward Kang"
2018,"Elaine Borawski"
2018,"Emerson D. Nafziger"
2018,"Emily A. Heaton"
2018,"Emily M. Powers"
2018,"Erica Kistner"
2018,"Erika Nicole Jennison"
2018,"Fallon Keegan"
2018,"Farhad Shahnia"
2018,"Fatima Mustafa"
2018,"Frederik L. Magnusson"
2018,"Fusuo Zhang"
2018,"Gabriela Esparza-DÍaz"
2018,"Gaukhar B. Baimuldina"
2018,"Geoffrey C. Maitland"
2018,"Georgia Mueller-Luckey"
2018,"Giacomo Pettenati"
2018,"Haibo Liu"
2018,"Hailey Wilmer"
2018,"Haishun S. Yang"
2018,"Helen H. Suh"
2018,"Henry Johnson"
2018,"Holly E. Brophy Herb"
2018,"Hongwei Yu"
2018,"Hongzhou Zhang"
2018,"Huan Yang"
2018,"Ian L. Pepper"
2018,"Jacky Knowles"
2018,"James F. Walgenbach"
2018,"James L. Caruso"
2018,"James L. Occi"
2018,"James Michael Harris"
2018,"James P. Lynch"
2018,"Jan Boll"
2018,"Janaína Calu Costa"
2018,"Jane Dimmitt Champion"
2018,"Jennifer Colgan"
2018,"Jennifer P. Halbert"
2018,"Jennifer Sahmel"
2018,"Jeremy K. Greene"
2018,"Jessica O'Rear"
2018,"Jianfeng Zhou"
2018,"Jinfa Jiang"
2018,"Jing Liu"
2018,"Jingshu Xu"
2018,"Jiro Nakayama"
2018,"Joanne C. Enticott"
2018,"Joerg Ohmstedt"
2018,"Johan Six"
2018,"John M. Shutske"
2018,"Jonathan Lundgren"
2018,"Jonathan Z.Grennell Weir"
2018,"Joyce Eckhoff"
2018,"Juan Pablo Zoffoli"
2018,"Juan Zalapa"
2018,"Julia Depa"
2018,"Juliana Berk-Krauss"
2018,"Julie Brimblecombe"
2018,"Juming Tang"
2018,"Jun Park"
2018,"Kara M. Whitaker"
2018,"Karen Walton"
2018,"Kate A. Dolan"
2018,"Katharina Ruckstuhl"
2018,"Katherine J. Deans"
2018,"Kathleen Brooks"
2018,"Kaye Brubaker"
2018,"Kayla A. Cotterman"
2018,"Keith Paustian"
2018,"Kent McVay"
2018,"Kilian Konrad Kenjiro Dahlem"
2018,"Kofi Essel"
2018,"Krisnawati Suryanata"
2018,"Kristen P. Mark"
2018,"Kyle Fletcher"
2018,"Kyle McGaughy"
2018,"Laíza Cavalcante De Albuquerque Silva"
2018,"Landon Marston"
2018,"Larissa Rossen"
2018,"Larry D. Sanders"
2018,"Laura Fouquette"
2018,"Laura Schechter"
2018,"Lauri Wright"
2018,"LeLee Yap"
2018,"Leonardo Casini"
2018,"Lilian Carrillo-Rodriguez"
2018,"Linda M. Chatters"
2018,"Linlin Fan"
2018,"Luanne R. DeChristopher"
2018,"M. Ali Darendeliler"
2018,"M.G. Mostofa Amin"
2018,"Majdi M. Smadi"
2018,"Makiko Taguchi"
2018,"Mandy Crommentuijn-Van Rhenen"
2018,"Manish Kumar"
2018,"Marco Nuti"
2018,"Margaret D. Fallin"
2018,"Margaret M. Fleming"
2018,"Margeaux Chavez"
2018,"Marianne Baernholdt"
2018,"Marie C. Ferguson"
2018,"Marilyn R. ElBestawi"
2018,"Marine Jacob"
2018,"Mario Schootman"
2018,"Marirosa Molina"
2018,"Marissé Masís Solano"
2018,"Markus Keller"
2018,"Mary L. Ohmer"
2018,"Masatoshi Funabashi"
2018,"Jennifer A. Whitty"
2018,"Jennifer L. Kent"
2018,"Jeremy Trombley"
2018,"Jessica C. Kichler"
2018,"Jessica Thermitus"
2018,"Jia Deng"
2018,"Jialin Yu"
2018,"João Lima"
2018,"Jochum J. Wiersma"
2018,"John B. Gates"
2018,"John Field"
2018,"Jonas Berghel"
2018,"Jonathan P Lynch"
2018,"Josef Kienzle"
2018,"Joshua J. Mitchell"
2018,"Judy A. Kraatz"
2018,"Julia M. Alber"
2018,"Junmei Tang"
2018,"Justin Manjourides"
2018,"Kaliappa Kalirajan"
2018,"Kanekoa Kukea-Shultz"
2018,"Kareem J. Kebaish"
2018,"Karen S. McNeal"
2018,"Katie Jane Palmer"
2018,"Katie N. Neufeld"
2018,"Katrina L. Schmerold"
2018,"Kelly A. Courts"
2018,"Kelly Fisher"
2018,"Kenneth J. Boote"
2018,"Kerry Rowe"
2018,"Kevin A. Clauson"
2018,"Kimberly M. Burnett"
2018,"Kirsten Thompson"
2018,"Kirsty Wild"
2018,"Kunsong Chen"
2018,"Kyle Rozema"
2018,"Lacey McCormack"
2018,"Larissa L. White"
2018,"Lauren E. Parker"
2018,"Lauren Sonderegger"
2018,"Leah Fitchett"
2018,"Leah Penniman"
2018,"Leanne Whiteside-Mansell"
2018,"Liangyu Feng"
2018,"Linxin Guo"
2018,"Liping Di"
2018,"Liz Stokes"
2018,"Lori Kratchmer"
2018,"Lorraine Mazerolle"
2018,"Lorrene D. Ritchie"
2018,"Maarten Punt"
2018,"Madhu Khanna"
2018,"Maina Kariuki"
2018,"Maria Victoria O. Espaldon"
2018,"Marji Puotinen"
2018,"Mark A Boetel"
2018,"Mark A. Ditmer"
2018,"Mark Wolfson"
2018,"Martin J. Pasqualetti"
2018,"Matilde Cassin"
2018,"Matthew M. Clark"
2018,"Matthew R. Ryan"
2018,"Matthew Rigge"
2018,"Md. Abdul Awal"
2018,"Megan J. Osmond-McLeod"
2018,"Meghan K. Mattos"
2018,"Mehmet C. Vuran"
2018,"Melinda C. Aldrich"
2018,"Michael Brady"
2018,"Michael H. Lev"
2018,"Michael Shintaku"
2018,"Michael Thomsen"
2018,"Mohamed Faisal"
2018,"Nathan J. Lance"
2018,"Nicholas Teague"
2018,"Nir Eyal"
2018,"Nirmalla Barros"
2018,"Olaf Erenstein"
2018,"Ole Jakob Storebø"
2018,"Patricia Inman"
2018,"Paul F. Horwood"
2018,"Paul Memmott"
2018,"Peter Doshi"
2018,"Peter M. Atkinson"
2018,"Peter R Gibson"
2018,"Pragati Kumari"
2018,"Rachel S. Bergmans"
2018,"Reena Gupta"
2018,"Reza Ehsani"
2018,"Richard A. Crosby"
2018,"Richard Koech"
2018,"Richard M. Schwend"
2018,"Richard Medina"
2018,"Robert Dinterman"
2018,"Robert E. Mazur"
2018,"Roberta Frigerio"
2018,"Rod D. MacLeod"
2018,"Roland Kroebel"
2018,"Ruiqing Miao"
2018,"Ruopu Li"
2018,"Ryan Beck"
2018,"Ryan Williams"
2018,"Samantha Edwards-Vandenhoek"
2018,"Sandra L. House"
2018,"Santhosh Chidangil"
2018,"Scott Pigg"
2018,"Shaakira Jones"
2018,"Shanshui Yuan"
2018,"Simone Righi"
2018,"Somkiat Jaturonglumlert"
2018,"Stéphanie Vandentorren"
2018,"Steven L. Brewer"
2018,"Stuart M Phillips"
2018,"Susan Rubin"
2018,"Sydney Corkran"
2018,"Taimur Shafi"
2018,"Tara Corbridge"
2018,"Thomas B. Moorman"
2018,"Thomas W. Hertel"
2018,"Timothy C. Heeren"
2018,"Timothy Heeren"
2018,"Timothy Seiple"
2018,"Tobenna D. Anekwe"
2018,"Trish M. Perl"
2018,"Ulrike Grote"
2018,"Ummey Honey"
2018,"Vadim Nikolaevich Zasko"
2018,"Valerie A. Wright-St Clair"
2018,"Valerie T. Eviner"
2018,"Vijay Yadav Tokala"
2018,"Vilija Alekneviciene"
2018,"Vladislav Valentinov"
2018,"Wendy Foley"
2018,"Will B. Dicharry"
2018,"Wilma Buffolano"
2018,"Xavier P.C. Vergé"
2018,"Xiang Gao"
2018,"Xianjin Huang"
2018,"Yu Wang"
2018,"Yuejin Yang"
2018,"Yumiko Aratani"
2019,"Abhinav Sharma"
2019,"Adam Dickerson"
2019,"Ahmed M. Kassem"
2019,"Alan Leckie"
2019,"Alberto Búrquez"
2019,"Alessia Naccarato"
2019,"Alexandra Papaioannou"
2019,"Alison Kennedy"
2019,"Alvaro Durand-Morat"
2019,"Amy L. Yaroch"
2019,"Amy Sweeny"
2019,"Amy Webb Girard"
2019,"Andrea K. Graham"
2019,"Andrea Pulvirenti"
2019,"Andrew Roberts"
2019,"Angela Babb"
2019,"Angus Campbell"
2019,"Angus L. Catchot"
2019,"Anika Pal Sharma"
2019,"Anja Koehler"
2019,"Anna Hale"
2019,"Arman Arab"
2019,"Ashley Bennett"
2019,"Ashley Roberts"
2019,"Athanasios Tsakonas"
2019,"Avery Sandborn"
2019,"Ayodeji Owati"
2019,"Barbara Gemmil-Herren"
2019,"Benjamin I. Cook"
2019,"Benjamin M. Gramig"
2019,"Bertrand Nalpas"
2019,"Beth Culross"
2019,"Bethany Cutts"
2019,"Bin Huang"
2019,"Blake E. Wilson"
2019,"Brandon Vick"
2019,"Brodie Fraser"
2019,"Cameron Russell Forbes"
2019,"Cara L. Eckhardt"
2019,"Carl Zulauf"
2019,"Carlos E. Carpio"
2019,"Carlos M. Cervantes"
2019,"Carmit Ziv"
2019,"Carol L. Connell"
2019,"Catherine Brinkley"
2019,"Cédric Le Bris"
2019,"Chelsea Deroche"
2019,"Chi Thanh Vu"
2019,"Chris Frampton"
2019,"Chris Reberg-Horton"
2019,"Christopher M. Jones"
2019,"Chuanlu Hou"
2019,"Clair Kaplan"
2019,"Claire E. Altman"
2019,"Clara M. Cruet-Burgos"
2019,"Clinton F. Williams"
2019,"Clyde Munster"
2019,"Coen Frederiks"
2019,"Collins Kimbeng"
2019,"Consolatha J. Gahanga"
2019,"Dan Wang"
2019,"Daniel R. Petrolia"
2019,"Danielle Cullen"
2019,"Daphne C. Hernandez"
2019,"Darren Gergle"
2019,"Darrin M Dodds"
2019,"David G Riley"
2019,"David L. Hyten"
2019,"David Marshall"
2019,"David Mungeam"
2019,"David W. Niebuhr"
2019,"Dawn M. Holman"
2019,"Denis Nadolnyak"
2019,"Derek Foust"
2019,"Diane J. Abatemarco"
2019,"Dinda Aisyah Musfiroh"
2019,"Don Blesing"
2019,"Donna-Jean P. Brock"
2019,"Drew S. Coleman"
2019,"Duc Phan"
2019,"Eduardo M. Medina-Cortina"
2019,"Eliseo J Pérez-Stable"
2019,"Elissa Ballman"
2019,"Elizabeth Huxley"
2019,"Elizabeth K Seng"
2019,"Elke Stehfest"
2019,"Emilie Auton"
2019,"Emily J. Tomayko"
2019,"Emmanuel Stamatakis"
2019,"Eric Lindahl"
2019,"Eric Schepers"
2019,"Erwin Wauters"
2019,"Fatemeh Barekati"
2019,"Fei Chen"
2019,"Felicia Hill-Briggs"
2019,"Filippo Maria D’Arcangelo"
2019,"Franca Buelow"
2019,"Francis Epplin"
2019,"Gabriela Buccini"
2019,"Galen D. Eldridge"
2019,"Garth Meckler"
2019,"Gaston E. Small"
2019,"Gopi K. Kafle"
2019,"Goran Nikolic"
2019,"Grace Mulcahy"
2019,"Greg Ridgeway"
2019,"Guoqin Huang"
2019,"Gustavo Turecki"
2019,"Gwyneth Milbrath"
2019,"Hallie Udelson"
2019,"Hannah E. Gavin"
2019,"Hannah R. Molitor"
2019,"Hao Gan"
2019,"Hatem Belhouchette"
2019,"Heather E. Hoops"
2019,"Heather M. Stephens"
2019,"Heesun Jang"
2019,"Helen Barrie"
2019,"Hien Ngo"
2019,"Hitomi Nakanishi"
2019,"Homayoun Farhadian"
2019,"Honglei Wang"
2019,"Hossain Kordestani"
2019,"Ian K McDonough"
2019,"Isaac Vellangany"
2019,"Isabel Clare Cornes"
2019,"Isabella M. Gee"
2019,"Ivy W. Maina"
2019,"Jacqueline Litvak"
2019,"Jacqueline Ramke"
2019,"Jai S. Rohila"
2019,"James Nolan"
2019,"James R. Belthoff"
2019,"James Shortle"
2019,"Janice Probst"
2019,"Jeffrey G. Arnold"
2017,"Claire Freeman"
2017,"Clare F. Heal"
2017,"Clyde Munster"
2017,"Colin Tobin"
2017,"Curtis P. Langlotz"
2017,"Damon L. Smith"
2017,"Daniel M. Hellerstein"
2017,"Daniel P. Connelly"
2017,"Danielle L. Nunnery"
2017,"Darcy A. Freedman"
2017,"Darfiana Nur"
2017,"Dave Barson"
2017,"David J. Hester"
2017,"David Ripplinger"
2017,"Dawn L. DeMeo"
2017,"Debbie Hopkins"
2017,"Delphine Deryng"
2017,"Derek Karssenberg"
2017,"Dominique van der Mensbrugghe"
2017,"Dragan Cvetkovic"
2017,"E. Brian Butler"
2017,"Eduardo Iturrate"
2017,"Edward Matios"
2017,"Edwina Pio"
2017,"Elena Castell-Perez"
2017,"Ellen Duysen"
2017,"Emiliano Mori"
2017,"Eric Guthrie"
2017,"Erin M. Passaro"
2017,"Fabio Gaetano Santeramo"
2017,"Fiona O’Hanlon"
2017,"Floor van der Hilst"
2017,"Fujin Yi"
2017,"George Boskou"
2017,"George Zillante"
2017,"Gerald D. Toland"
2017,"Glyn Wittwer"
2017,"Grant H. West"
2017,"Gregory N. Connolly"
2017,"H. Brent Pemberton"
2017,"H. Holly Wang"
2017,"Hans Lofgren"
2017,"Hans-Peter Schmidt"
2017,"Hayk Khachatryan"
2017,"Helen Sissons"
2017,"Hendrik M. Koolma"
2017,"Holly B. Ernest"
2017,"Hyun-Suk Park"
2017,"Jacob S. Siegel"
2017,"Jago Dodson"
2017,"James M. Wallace"
2017,"Jannah Baker"
2017,"Jay Ram Lamichhane"
2017,"Jeffery Bray"
2017,"Jennifer A. O’Malley"
2017,"Jennifer L. Kent"
2017,"Jennifer Romich"
2017,"John B. Luchansky"
2017,"John Ritten"
2017,"John Stenger"
2017,"Jonel Subic"
2017,"June Oscar"
2017,"Kate A. Ratliff"
2017,"Katherine L. Gross"
2017,"Kelly R. Thorp"
2017,"Kerstin Engström"
2017,"Kim S. Lewers"
2017,"Kiran Ghising"
2017,"Kustini Lim-Wavde"
2017,"Lance B Price"
2017,"LaShawn M. Glasgow"
2017,"Laurian Unnevehr"
2017,"Leanna Hansen"
2017,"Leland L. Glenna"
2017,"Linda S. Prokopy"
2017,"Lindsey White"
2017,"Luz Gatica"
2017,"Madison N. LeCroy"
2017,"Margaret Morganroth Gullette"
2017,"Margaret R. Douglas"
2017,"Maria Stubbe"
2017,"Marian Wright Edelman"
2017,"Marilyn C. Erickson"
2017,"Mark D. Partridge"
2017,"Martha Stancill"
2017,"Mary Beth Hall"
2017,"Marybeth J. Mattingly"
2017,"MaryEllen K. Holbrook"
2017,"Massimo Cecchini"
2017,"Mat W. Alldredge"
2017,"Matt R. Whiles"
2017,"Matthew E. Reiter"
2017,"Matthew M. Mars"
2017,"Melissa Prendergast"
2017,"Miae Ha"
2017,"Michael J. Kallan"
2017,"Michael Ostlie"
2017,"Michel David Gerber"
2017,"Michel Lucas"
2017,"Michel Wattiaux"
2017,"Michelle T. Hoffman"
2017,"Mohammed K. Ali"
2017,"Moharram Ainollahi"
2017,"Mohsin TANVEER"
2017,"Nancy U. Lin"
2017,"Nicole C.T. van Grieken"
2017,"Nicole Krupa"
2017,"Niek Koning"
2017,"Omkar Joshi"
2017,"Oscar Gallego"
2017,"P. Marijn Poortvliet"
2017,"Pablo Palmández"
2017,"Pablo Valdes-Donoso"
2017,"Patricia C. Priest"
2017,"Patrick S. Ward"
2017,"Peter C. Boxall"
2017,"Philip Austin"
2017,"Pratik Banerjee"
2017,"Priscila Rodriguez"
2017,"Qamar U. Zaman"
2017,"Quanhe Yang"
2017,"Rachael A. Record"
2017,"Rachel Di Benedetto"
2017,"Raffaele Cavalli"
2017,"Rhae A. Drijber"
2017,"Riccardo Vecchio"
2017,"Richard Zollinger"
2017,"Rob Mcgee"
2017,"Robert M. Hayes"
2017,"Roberto del Aguila"
2017,"Roberto J. Peña-Bautista"
2017,"Robin Alan Choudhury"
2017,"Rona Macniven"
2017,"Ronald B. Pegg"
2017,"Rong Guo"
2017,"Saba Khan"
2018,"Yakov A. Pachepsky"
2018,"Yan Luo"
2018,"Yeeli Mui"
2018,"Ying-Hsuan Wu"
2018,"Zhenzhong Si"
2018,"Zhi Liang"
2019,"Abby Leslein"
2019,"Abiodun Atoloye"
2019,"Ada L Garcia"
2019,"Adam Prakash"
2019,"Afzan Nor Talib"
2019,"Ahmed A. Abdurahman"
2019,"Ainhoa Martínez-Medina"
2019,"Ajit Sharma"
2019,"Akram Alakel"
2019,"Alayne Ronnenberg"
2019,"Alexa Minc"
2019,"Alfred Hugo"
2019,"Allan J. Hertzberger"
2019,"Alycia Santilli"
2019,"Amirreza Talaiekhozani"
2019,"Amy Moss"
2019,"Andrea C. Villanti"
2019,"Andrea K. Garber"
2019,"Andrew McCarren"
2019,"Andrew P. Barnes"
2019,"Andrew Pinto"
2019,"Anik Larasati"
2019,"Anis Amira Ab. Rahman"
2019,"Ann Rogers"
2019,"Anne E. Fuller"
2019,"Anne Lainchbury"
2019,"Anne Mottet"
2019,"Ashley M. Hand"
2019,"Ashley Woodford"
2019,"Ashok Pandey"
2019,"Ashraf Zaied"
2019,"Åsmund Asdal"
2019,"Austin E. Gillen"
2019,"Barry M. Popkin"
2019,"Benita Blanford-Jones"
2019,"Benjamin B. Stewart-Brown"
2019,"Bethany Wrye"
2019,"Bingqin Li"
2019,"Bradford William Hesse"
2019,"Brent S. Hulke"
2019,"Bret Shaw"
2019,"Brian B. Hunt"
2019,"Brian J. Schutte"
2019,"Candace Tannis"
2019,"Cangliang Shen"
2019,"Cara Cliburn Allen"
2019,"Carina Anderson"
2019,"Carla L. Storr"
2019,"Caroline B. Rains"
2019,"Caterina Scoglio"
2019,"Catherine Neilsen-Hewett"
2019,"Catherine Trask"
2019,"Cathy House"
2019,"Chanjin Chung"
2019,"Chao Fan"
2019,"Chase B. Kimmel"
2019,"Chengjun Wu"
2019,"Chris J. Meyer"
2019,"Christian Gregory"
2019,"Christine Cleghorn"
2019,"Christopher D Delhom"
2019,"Christopher M.U. Neale"
2019,"Cilla Brown"
2019,"Clay Bell"
2019,"Colleen J. Doherty"
2019,"Corey Erb"
2019,"Daniel Kusbit"
2019,"Daniel Schober"
2019,"Danni Ma"
2019,"David A. Haukos"
2019,"David Snadden"
2019,"David Toledo"
2019,"Deborah A. Boyle"
2019,"Deepika Laddu"
2019,"Dilek Ulubas Isik"
2019,"Dina C LoGiudice"
2019,"Don Cook"
2019,"Dongjoo Park"
2019,"Donna P. Clements"
2019,"Dylan Riley"
2019,"Eamon J. Duffy"
2019,"Edward Cheong"
2019,"Edward S. Spang"
2019,"Elisa Epel"
2019,"Elizabeth R. Peterson"
